MBLY3,Mobly,1.340.800,3,72,-6,06%
VIVA3,Vivara,1.309.800,29,44,+0,24%
GRND3,Grendene,1.258.300,7,03,-1,54%
MTRE3,Mitre Realty,1.256.100,5,32,-0,93%
MEAL3,IMC Alimentação,1.255.600,2,10,-1,87%
AESB3,AES Brasil,1.206.500,10,77,-0,65%
TTEN3,3tentos,1.163.900,12,12,-2,49%
TRIS3,Trisul,1.157.900,5,62,-3,77%
WIZC3,Wiz Soluções,1.124.400,5,86,-0,85%
ODPV3,Odontoprev,1.104.100,11,06,-0,72%
AMBP3,Ambipar,1.095.500,21,94,-2,58%
SLCE3,SLC Agrícola,1.055.100,39,21,-0,13%
POSI3,Positivo,1.035.500,8,57,+0,12%
EVEN3,Even,1.035.200,6,66,-0,30%
MDIA3,M. Dias Branco,945.700,41,70,-1,26%
ENAT3,Enauta,930.900,13,84,+0,07%
TASA4,Taurus,926.300,14,55,-1,15%
MILS3,Mills,889.600,12,29,-0,57%
PTBL3,Portobello,861.000,6,85,+0,88%
VIVR3,Viver,852.500,3,32,+7,10%
ABCB4,Banco ABC Brasil,775.900,18,51,+1,31%
SQIA3,Sinqia,742.400,26,74,-0,04%
BRIT3,Brisanet,735.500,3,66,-2,66%
RANI3,Irani,722.600,10,33,-2,55%
MEGA3,OMEGA ENERGIA S.A.,717.600,10,52,-0,66%
PGMN3,Pague Menos,698.100,3,98,+0,76%
INTB3,Intelbras,651.700,22,97,+0,22%
NGRD3,Neogrid,648.900,1,32,-4,35%
NEOE3,Neoenergia,648.600,18,89,-1,25%
WEST3,Westwing,641.200,2,04,-1,45%
TUPY3,Tupy,598.100,26,35,-0,75%
PLPL3,Plano&Plano,537.600,10,00,-2,44%
ARML3,Armac,528.200,13,10,-2,53%
BMGB4,Banco BMG,521.200,2,35,-0,84%
SOJA3,Boa Safra Sementes,498.000,13,34,-1,91%
BMOB3,Bemobi,491.800,12,24,-2,39%
HBOR3,Helbor,479.600,3,06,-1,61%
ROMI3,Indústrias ROMI,477.200,12,98,+0,70%
OPCT3,OceanPact,453.400,5,22,-0,19%
AGRO3,BrasilAgro,417.400,23,52,-0,59%
UNIP6,Unipar,413.200,76,43,+0,04%
TAEE4,Taesa,410.800,11,54,-0,60%
LAVV3,Lavvi Incorporadora,409.400,8,37,-0,24%
CMIG3,CEMIG,405.500,19,52,+1,30%
MDNE3,Moura Dubeux,395.200,11,68,-3,07%
PNVL3,Dimed,393.700,12,55,-3,46%
ENJU3,Enjoei,389.400,1,60,+0,63%
KLBN3,Klabin,386.800,4,50,-0,44%
FESA4,Ferbasa,381.800,44,36,+2,97%
LUPA3,Lupatech,359.600,2,63,-2,95%
ORVR3,Orizon,350.700,35,07,-1,38%
PORT3,Wilson Sons,338.900,12,86,-0,85%
PINE4,PINE,320.300,3,97,-0,75%
VULC3,Vulcabras,310.000,20,50,-0,58%
CLSA3,ClearSale,309.200,4,48,-1,54%
SANB4,Banco Santander,303.400,14,12,+0,71%
BLAU3,Blau Farmacêutica,295.800,17,81,-0,39%
FRAS3,Fras-le,282.500,13,74,-1,43%
VVEO3,Viveo,282.000,18,74,-3,65%
MELK3,Melnick,280.000,4,24,-4,72%
AALR3,Alliança,276.400,10,80,-11,26%
LEVE3,Mahle Metal Leve,274.300,44,06,-2,00%
FIQE3,Unifique,273.900,4,00,+2,56%
MATD3,Mater Dei,270.200,9,58,+0,21%
HBRE3,HBR Realty,248.600,5,77,-2,53%
CSED3,Cruzeiro do Sul Educacional,235.500,4,40,-1,12%
VLID3,Valid,233.800,16,85,+0,00%
JSLG3,JSL,231.400,9,46,-1,25%
SANB3,Banco Santander,227.900,12,32,-0,24%
SYNE3,SYN,211.300,4,01,-0,74%
TAEE3,Taesa,206.600,11,53,-0,77%
KRSA3,Kora Saúde,194.900,1,38,+2,99%
SAPR3,Sanepar,192.000,4,20,-0,94%
LOGG3,LOG CP,191.200,19,21,+2,18%
VITT3,Vittia,183.400,11,09,-1,07%
NINJ3,GetNinjas,181.300,3,69,+1,37%
ELMD3,Eletromidia,179.100,13,87,-0,22%
